baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	192.629390117216	-0.973179998252382	0.173941882644586	-5.59485722159781	2.20803402026181e-08	8.69906984660716e-08
A1BG-AS1	105.097499142012	-1.15617872058561	0.22737364740389	-5.08492841534911	3.67764749166705e-07	1.28853871374705e-06
A1CF	0.150386834371245	-0.966205354590972	4.0804728567969	-0.236787595090003	0.812821575607245	NA
A2M	5.36449837140811	0.305178399816148	0.979525094729265	0.311557510326469	0.755376829774785	0.818574727094791
A2M-AS1	0	NA	NA	NA	NA	NA
A2ML1	0.468769649801483	-0.845906978024469	2.96527248475437	-0.28527124652915	0.77543633994818	NA
A2MP1	0	NA	NA	NA	NA	NA
A3GALT2	0.144431798704551	0.957347997051518	4.0804728567969	0.234616925696945	0.814506071389839	NA
A4GALT	251.674261905323	0.0809625840986585	0.140114597318578	0.577831187100186	0.56337809734451	0.65777889948413
A4GNT	0.765805870822103	0.524642358911353	2.32497554031877	0.225655001445487	0.821469758988054	0.869422616916478
AA06	0	NA	NA	NA	NA	NA
AAAS	364.29803471667	0.621761349123819	0.123129781653364	5.04964226180637	4.42638197750734e-07	1.53880404155368e-06
AACS	662.812812287568	-0.591064342555141	0.0981084243576448	-6.02460335516625	1.6952484582484e-09	7.35049493274489e-09
AACSP1	0	NA	NA	NA	NA	NA
AADAC	1.61782816305657	-4.15111451451623	1.87687077932288	-2.21172099872205	0.0269859486612595	0.0486479123831829
AADACL2	0	NA	NA	NA	NA	NA
AADACL2-AS1	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADACP1	3.68681682922688	-5.3414648434987	1.5393105402997	-3.47003720409706	0.00052038627824809	0.00126608958045171
AADAT	136.301067227307	0.117957271800972	0.183242341718687	0.643722791875579	0.519755207627733	0.618946068838727
AAED1	123.168784042073	0.819040159421189	0.193834295125384	4.22546566845347	2.38447177352808e-05	6.93437162059286e-05
AAGAB	843.846204680294	-0.0481581693261849	0.0852620892861719	-0.564825114296084	0.572192723095736	0.665124927562387
AAK1	1135.35169648685	-0.0593983083673412	0.0857983987756767	-0.69230089622815	0.488748387390489	0.589165097519965
AAMDC	243.696491683168	-0.241547754696372	0.14679155884151	-1.64551529122441	0.0998635919156616	0.156104809991025
AAMP	1561.59166662575	-0.768786950477951	0.0716738781886738	-10.726180442674	7.6701381394645e-27	8.16895109661379e-26
AANAT	0.473143003338024	0.749377285479219	3.1809482798392	0.23558298329739	0.813756279208533	NA
AAR2	354.859933909238	-0.101480125997109	0.124703793549194	-0.813769357842958	0.415777092279666	0.519059711072938
AARD	0.336883828244992	-0.0044354159410307	3.60562918802185	-0.00123013646432791	0.999018493354974	NA
AARS	2962.73630542205	0.626139724982816	0.250220249178344	2.50235433398732	0.0123370381979753	0.0238696160129739
AARS2	262.652741952525	-0.567297744751061	0.140092144741635	-4.04946148691849	5.13356248924382e-05	0.000143954580561498
AARSD1	332.704078335932	0.01242823924154	0.133783507379683	0.0928981418185439	0.925984481979231	0.949555262308757
AASDH	89.1234559930176	0.37056509224706	0.235620789285656	1.5727181517833	0.115784094870073	0.177794310484151
AASDHPPT	635.714171563122	0.226612632026386	0.101335139612065	2.23626900692014	0.0253341553445042	0.0459587012126698
AASS	267.352811541821	0.811003482343531	0.134832563843675	6.01489328114984	1.80005245520533e-09	7.78602570861002e-09
AATBC	0.521163234173914	-1.01663010886277	3.07339516823388	-0.330784052558714	0.740807607640568	NA
AATF	517.045386754946	-0.162844590722159	0.105723254220596	-1.54029113010821	0.123489404889272	0.188081883647057
AATK	1.02846675745855	2.25334913435245	2.12232995760118	1.06173365092549	0.288356618091541	0.384778553945251
AATK-AS1	0	NA	NA	NA	NA	NA
ABALON	95.8888831716657	-1.38485412022394	0.227218626575165	-6.09480895601584	1.09568224428149e-09	4.82496217210704e-09
ABAT	37.7375372067386	1.64362281081792	0.366599734759905	4.48342607747484	7.34540560122053e-06	2.262570635488e-05
ABCA1	1442.3875190218	-1.40250916412265	0.0781276786485623	-17.9515018029844	4.67100227298056e-72	1.61546362481878e-70
ABCA10	6.38062005995323	-1.2143991879042	0.823069333523067	-1.47545187075077	0.140091098716212	0.209963677836597
ABCA11P	51.1006843324937	-0.509314014344449	0.298326113287127	-1.70723913080399	0.0877776145827619	0.139600434901105
ABCA12	0.524906675934083	0.972734558860266	2.85894998964138	0.340241893836793	0.733674371382913	NA
ABCA13	5.30238041532928	-2.83297827776123	1.05031812422618	-2.69725734748072	0.00699132171061071	0.0141622919448345
ABCA17P	0.460597026189964	-0.845706308065172	2.98169623002367	-0.283632618088147	0.776691937591562	NA
ABCA2	1273.90854590522	-0.652950260896074	0.0803805093348743	-8.12324114762459	4.53896204429186e-16	2.98672617006145e-15
