Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
A1BG	9.22	9.94	11.93	17.84	20.29	20.86
A1BG-AS1	3.88	4.56	3.69	9.87	11.94	12.77
A1CF	0	0	0	0	0	0
A2M	0.19	0.23	0.17	0.32	0.49	0.53
A2M-AS1	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0
A3GALT2	0	0.1	0.16	0	0	0
A4GALT	21.7	24.09	22.01	17.31	20.41	19.45
A4GNT	0.21	0.17	0.09	0	0	0
AA06	0	0	0	0	0	0
AAAS	35.45	35	29.29	24.08	26.39	22.35
AACS	24.06	23.22	25.25	41.91	42.11	39.21
AACSP1	0	0	0	0	0	0
AADAC	0	0	0	1.04	1.96	1.13
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0.14	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	2.52	2.91	2.6
AADAT	8.23	9.2	9	6.7	4.99	6.61
AAED1	26.77	17.97	17.47	18.42	12.92	15.23
AAGAB	41.89	42.03	41.23	44.37	39.18	41.8
AAK1	10.32	9.77	8.69	10.63	10.63	9.43
AAMDC	67.15	55.5	55.12	69.59	82.31	80.39
AAMP	90.4	87.85	91.21	164.56	137.47	143.03
AANAT	0.19	0	0.08	0.12	0.11	0.11
AAR2	25.74	24.63	24.09	26.62	23.86	25.55
AARD	0	0	0.09	0	0.06	0
AARS	171.35	162.32	152.15	68.49	74.1	64.12
AARS2	7.18	7.56	7.25	11.22	11.18	10.46
AARSD1	33.54	32.32	31.38	36.8	26.77	33.74
AASDH	5.83	5.72	6.27	3.95	5.19	3.57
AASDHPPT	40.63	42.82	44.79	35.56	27.94	31.42
AASS	11.77	10.84	10.59	3.7	5.08	3.64
AATBC	0.06	0.06	0.07	0.05	0.07	0.02
AATF	35.19	32.92	33.48	43.34	38.66	41.23
AATK	0.04	0.06	0.09	0.05	0	0
AATK-AS1	0	0	0	0	0	0
ABALON	5.49	7.75	6.76	16.24	18.9	15.85
ABAT	2.25	2.49	2.24	0.77	0.99	0.65
ABCA1	16.89	21.69	18.37	32.9	31.12	27.63
ABCA10	0.13	0.05	0.15	0.29	0.21	0.2
ABCA11P	3.37	3.82	3.49	5.31	4.71	5.2
ABCA12	0.03	0	0	0.01	0.02	0
ABCA13	0.01	0	0	0.09	0.07	0.08
ABCA17P	0.06	0.09	0.04	0.03	0	0.02
ABCA2	22.55	25.82	23.32	32.01	33.87	26.34
ABCA3	0.58	0.46	0.48	3.74	3.5	4
ABCA4	0.04	0.09	0.11	0.05	0.18	0.13
ABCA5	3.2	2.8	3.08	1.32	0.82	0.96
ABCA6	0.12	0.43	0.3	0.28	0.18	0.1
ABCA7	3.25	4.11	3.1	1.41	2.05	1.59
ABCA8	0.37	0.99	1.34	0.02	0.02	0.04
ABCA9	0	0.05	0.05	0.07	0.07	0.02
ABCA9-AS1	0	0	0	0	0	0
ABCB1	2.03	1.87	1.31	0.44	0.76	0.77
ABCB10	17.97	16.18	16.52	11.33	7.89	11.48
ABCB11	0	0	0	0	0	0
ABCB4	0.02	0	0.04	0	0.06	0.03
ABCB5	0	0.02	0	0	0	0
ABCB6	25.03	25.58	25.47	13.02	11.08	12.15
ABCB7	13.17	13.91	15.06	12.44	15.27	14.11
ABCB8	14.01	11.93	13.84	16	14.76	15.85
ABCB9	4.82	4.36	5.33	7.61	6.38	6.23
ABCC1	167.16	180.16	178.89	73.87	83.14	64.4
ABCC10	16.85	15.54	14.3	26.84	24.78	23.35
ABCC11	0.06	0.04	0.04	0.05	0.02	0.05
ABCC12	0	0	0	0	0	0
ABCC13	0.03	0	0	0	0	0
ABCC2	0.31	0.29	0.41	0.15	0.2	0.04
ABCC3	25.7	36.43	38.76	6.73	18.06	14.33
ABCC4	84.86	114.62	116.23	64.01	76.99	61.68
ABCC5	20.79	20.3	18.65	30.89	25.61	23.45
ABCC5-AS1	0	0	0	0	0	0
ABCC6	3.62	3.71	3.43	0.78	1.75	1.02
ABCC6P1	0.04	0.18	0.13	0	0.05	0
ABCC6P2	0	0.63	0.72	0	0	0.34
ABCC8	0	0	0	0	0	0
ABCC9	2.4	1.82	2.41	0.57	0.19	0.38
ABCD1	18.19	16.88	18.8	39.36	41.96	41.6
ABCD2	0.07	0	0.09	0.02	0	0
ABCD3	35.7	33.16	37.68	36.01	36.44	33.95
ABCD4	13.63	15.25	13.03	9.86	10.48	9.2
ABCE1	57.86	49.78	51.07	83.29	71.01	72.67
ABCF1	71.43	71.6	63.68	121.9	103.85	114.05
ABCF2	52.45	49.82	47.71	80.05	65.46	73.32
ABCF3	38.52	41.52	39.37	65.91	57.6	62.8
ABCG1	0.06	0.1	0	0.08	0.11	0.42
ABCG2	1.78	1.81	2	1.48	1.45	1.22
ABCG4	0.47	0.3	0.44	0.06	0.24	0.24
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0.07
ABHD10	23.1	22.47	20.33	36.38	44.4	38.67
ABHD11	7.74	7.06	5.93	14.47	12.67	11.08
ABHD11-AS1	1.55	1.94	1.95	0	0.27	0.51
ABHD12	71.35	62.42	73.56	51.86	43.76	52.36
ABHD12B	0	0.28	0.11	0.16	0.15	0.07
ABHD13	10.57	12.41	12.85	12.75	11.15	10.47
ABHD14A	12.72	12.17	17.68	11.14	9.31	8.48
ABHD14A-ACY1	0	2.32	1.05	3.37	0.29	0.89
ABHD14B	13.62	14.06	18.11	18.95	18.99	20.82
ABHD15	15.36	14.5	14.44	16.76	14.61	16.68
ABHD16A	34.65	37.9	38.52	37.7	38.46	38.84
ABHD16B	5.34	4.03	4.49	8.46	9.74	7.43
ABHD17A	121.55	131.69	128.97	179.79	168.02	169.45
ABHD17B	9.88	12.25	11.52	14.59	12.79	11.64
ABHD17C	23.79	22.62	21.41	4.71	7.86	5.17
ABHD2	18.5	17.89	19.36	23.84	22.82	19.8
ABHD3	6.84	6.34	5.86	4.64	6.32	4.3
ABHD4	61.91	63.08	59.53	16.39	17.44	15.03
ABHD5	22.49	25.07	22.08	21.29	18.18	19.37
ABHD6	11.11	12.67	10.62	13.1	13.15	13.71
ABHD8	20.27	23.3	25.11	9.9	13.37	10.01
ABI1	34.28	31.42	34.71	37.64	44.68	45.85
ABI2	31.56	33.81	32.44	29.53	31.18	26.26
ABI3	0.26	0.29	0.38	0.22	0.42	0.1
ABI3BP	6.38	6.13	5.7	0.1	0.34	0.42
ABL1	87.95	93.73	88.12	59.9	58.4	55
ABL2	13.6	9.72	11.96	29.68	24.96	23.68
ABLIM1	8.9	6.88	7.26	8.11	11.13	7.51
ABLIM2	0.07	0.04	0.06	0.24	0.99	0.55
ABLIM3	51.52	45.08	51.76	152.37	186.75	161.68
ABO	0	0	0	0	0	0
ABR	57.97	56.26	55.19	99.03	111.19	96.09
ABRA	0.03	0	0	0	0.32	0.08
ABRACL	110.38	80.85	75.22	138.81	107.51	128.8
ABT1	24.23	21.55	22.43	36.62	29.71	33.62
ABTB1	18.75	21.8	19.5	14.48	20.86	12.78
ABTB2	2.45	2.38	2.23	10.22	10.59	9.52
ACAA1	39.95	45.18	46.48	65.48	56.89	60.55
ACAA2	63.88	58.78	58.58	33.59	30.88	36.23
ACACA	21.42	19.81	22.37	26.29	29.9	24.09
ACACB	1.75	2.2	1.75	1.57	1.67	1.18
ACAD10	7.95	8.57	7.99	5.16	8.26	5.59
ACAD11	11.63	14.5	14.1	13.92	16.25	12.1
ACAD8	12.95	16.59	15.32	24.74	25.8	23.53
ACAD9	27.8	25.76	29.12	31.61	25.29	29.58
ACADL	0	0	0	0	0.27	0.04
ACADM	32.21	31.85	30.48	31.53	36.28	31.73
ACADS	3.63	3.66	3.99	1.21	2.17	2.07
ACADSB	8.95	8.68	10.49	3.67	3.79	3.67
ACADVL	159.52	165.34	147.08	305.08	322.37	322.57
ACAN	0	0	0	0	0.01	0
