Row.names	sig	Pattern	FC_x_axis	FC_y_axis	padj	ENTREZID
A1BG-AS1	Sen_high	Pro > Sen > Qui	1.59534115071474	2.22227981615924	0	503538
AARS	Sen_low	Pro = Qui < Sen	-1.15243975174604	-1.01422827604654	0	NA
ABALON	Sen_high	Pro = Qui > Sen	1.43032259101234	1.24316065584997	0	103021294
ABAT	Sen_low	Pro = Qui < Sen	-1.45865697220346	-1.18507049951005	1.66066154638767e-06	18
ABCA3	Sen_high	Pro > Sen > Qui	2.97451605408185	3.72732318104643	0	21
ABCA5	Sen_low	Pro = Qui < Sen	-1.47738412713426	-1.54597306848149	0	23461
ABCA8	Sen_low	Pro < Sen < Qui	-5.10924555926399	-6.85943356938188	1.45036693766087e-09	10351
ABCC3	Sen_low	Pro = Qui < Sen	-1.74195570480381	-1.82501205250547	3.78598263850449e-11	8714
ABCC6	Sen_low	Pro < Sen < Qui	-2.27034305977037	-3.17360013509945	0	368
ABCC9	Sen_low	Pro < Qui < Sen	-2.60120779301933	-2.11228102726135	1.11022302462516e-16	10060
ABCD1	Sen_high	Pro = Qui > Sen	1.27086548656971	1.34180414296271	0	215
ABHD11	Sen_high	Pro = Qui > Sen	1.03350346872212	1.16655243893547	0	83451
ABHD17C	Sen_low	Pro = Qui < Sen	-1.85352930376728	-1.87297712044375	0	58489
ABHD4	Sen_low	Pro = Qui < Sen	-1.83699506660354	-1.73227817171559	0	63874
ABI3BP	Sen_low	Pro = Qui < Sen	-4.31040258881223	-4.63825209321999	0	25890
ABL2	Sen_high	Pro > Sen > Qui	1.27274417916415	1.98219876204551	0	27
ABLIM3	Sen_high	Pro = Qui > Sen	1.82794494149536	1.71152933856724	0	22885
ACBD4	Sen_low	Pro = Qui < Sen	-1.34615906699351	-1.50596281690376	5.53256218616127e-10	79777
ACOT7	Sen_high	Pro > Sen > Qui	1.21251320897317	2.14058715959077	0	11332
ACPP	Sen_high	Pro = Qui > Sen	3.06792577467191	2.44573359596396	1.11022302462516e-16	NA
ACSS1	Sen_low	Pro = Qui < Sen	-2.05212121504895	-1.76448286947079	1.40802325354628e-09	84532
ACSS3	Sen_low	Pro < Sen < Qui	-1.20231441502389	-1.57396940380477	1.11022302462516e-16	79611
ACYP1	Sen_high	Pro = Qui > Sen	1.13941777885873	1.36733917661078	3.13006600822785e-05	97
ADAM12	Sen_high	Pro > Sen > Qui	2.41732630224875	3.65681318365961	0	8038
ADAM19	Sen_high	Pro > Sen > Qui	2.39265089986648	3.4122948772876	0	8728
ADAMTS1	Sen_low	Pro = Qui < Sen	-3.12364360169331	-2.92919714157961	0	9510
ADAMTS10	Sen_low	Pro < Sen < Qui	-1.40546819807926	-2.59029488520633	0	81794
ADAMTS15	Sen_low	Pro = Qui < Sen	-5.57549440648494	-5.97105277531844	0	170689
ADAMTS5	Sen_low	Pro < Sen < Qui	-3.28600633500764	-5.09429896043871	0	11096
ADAMTS8	Sen_low	Pro = Qui < Sen	-3.91669172979833	-4.00011762043274	2.35367281220533e-14	11095
ADAMTSL1	Sen_low	Pro < Qui < Sen	-1.96556557147411	-1.21232430998302	1.217497604733e-06	92949
ADGRA2	Sen_low	Pro = Qui < Sen	-3.01084964709101	-3.11860257194603	0	25960
ADGRE2	Sen_high	Pro = Qui > Sen	8.4540009619179	6.74061168436849	0	30817
ADGRE5	Sen_high	Pro > Sen > Qui	2.31958286854545	2.73411013074192	0	976
ADGRG6	Sen_low	Pro < Qui < Sen	-3.31192278417453	-2.7853217979605	0	57211
ADGRL1	Sen_low	Pro < Sen < Qui	-1.63263826000644	-2.79733634802641	4.44089209850063e-15	22859
ADGRL2	Sen_low	Pro < Sen < Qui	-2.12626535146804	-3.9780354683837	1.5720341695058e-09	23266
ADH1B	Sen_low	Pro < Sen < Qui	-9.21253040587219	-11.9969310748905	0	125
ADHFE1	Sen_low	Pro < Sen < Qui	-2.40158273723288	-3.14753225192461	0	137872
ADK	Sen_high	Pro > Sen > Qui	1.24643940092318	1.97731299571561	0	132
ADM2	Sen_low	Pro = Qui < Sen	-3.32809440427681	-2.81401092980114	0	79924
ADORA2A	Sen_high	Pro = Qui > Sen	4.66876194101119	3.26965393907921	0	135
ADRA1B	Sen_low	Pro < Qui < Sen	-5.21176199503614	-4.25550994354211	0	147
ADSSL1	Sen_low	Pro < Sen < Qui	-1.47249532606816	-2.14377332247299	1.27968080576579e-10	NA
ADTRP	Sen_high	Pro > Sen > Qui	1.02881933570601	2.32722301266777	2.22044604925031e-15	84830
AEBP1	Sen_low	Pro = Qui < Sen	-1.23347573614391	-1.30073183683527	2.61648407594572e-05	165
AFAP1L1	Sen_high	Pro > Sen > Qui	1.94367150918792	2.52492653637199	0	134265
AFAP1L2	Sen_high	Pro = Qui > Sen	3.48755652068658	2.71082369192119	1.81877846117118e-11	84632
AFF3	Sen_low	Pro = Qui < Sen	-1.76142147628875	-1.59619554866343	0	3899
AFMID	Sen_high	Pro = Qui > Sen	1.08123478959445	1.34394746575129	0	125061
AGAP1-IT1	Sen_high	Pro = Qui > Sen	2.18772380290676	1.37592873289071	5.74218980220476e-06	100506749
AGO2	Sen_high	Pro = Qui > Sen	1.41211316164493	1.48407998379046	0	27161
AGPAT5	Sen_high	Pro = Qui > Sen	1.29174809967928	1.28151733513105	1.19439562684676e-07	55326
AGPAT9	Sen_high	Pro = Qui > Sen	1.01983683305306	1.23055059448953	1.43849300882071e-06	NA
AHCY	Sen_high	Pro = Qui > Sen	1.00274381049111	1.00719395392076	0	191
AHNAK2	Sen_high	Pro > Sen > Qui	1.78150608563068	3.19029188066508	0	113146
AIFM1	Sen_high	Pro = Qui > Sen	1.03538040155333	1.1528854577207	0	9131
AJUBA	Sen_low	Pro < Qui < Sen	-1.68345543946959	-1.10008019580297	1.31703203898326e-10	84962
AK4	Sen_high	Pro = Qui > Sen	2.67274986962133	2.93332315125166	5.02546892988676e-11	205
AK5	Sen_low	Pro < Qui < Sen	-1.8585622194653	-1.38189970114537	0	26289
AK9	Sen_low	Pro = Qui < Sen	-1.25168465174055	-1.25443357454348	6.66133814775094e-16	221264
AKAP7	Sen_low	Pro = Qui < Sen	-2.23787735265371	-2.07639051003623	0	9465
AKNA	Sen_low	Pro = Qui < Sen	-2.10236327653868	-2.11129181979608	0	80709
AKR1B10	Sen_low	Pro = Qui < Sen	-2.00232967350018	-2.28741812199501	2.01165959667904e-07	57016
AKR1C1	Sen_low	Pro = Qui < Sen	-3.2513151134952	-4.20917077931593	0.00135935664756359	1645
AKR1C2	Sen_low	Pro = Qui < Sen	-3.28911677066484	-4.01514387730786	0.000332589966591801	1646
AKR1C3	Sen_low	Pro = Qui < Sen	-5.59016351939877	-6.39883318838381	1.11022302462516e-16	8644
ALCAM	Sen_low	Pro < Qui < Sen	-1.92990076422221	-1.01978568129557	0	214
ALDH1L2	Sen_low	Pro < Qui < Sen	-2.60300059411254	-2.06467341591442	0	160428
ALDH2	Sen_low	Pro < Sen < Qui	-1.31525383693966	-1.82521910733463	1.11022302462516e-16	217
ALDH3B1	Sen_low	Pro = Qui < Sen	-1.8882931371569	-1.82551283003327	0	221
ALDOC	Sen_high	Pro > Sen > Qui	1.24577829644559	1.90367849890719	0	230
ALG10B	Sen_low	Pro < Sen < Qui	-1.30727324405919	-1.70015704880524	0	144245
ALKBH6	Sen_high	Pro = Qui > Sen	1.14450840916889	1.4110756696795	1.11022302462516e-16	84964
ALOX15B	Sen_high	Pro = Qui > Sen	7.34145412837452	15.0693785992265	1.11022302462516e-16	247
ALOX5AP	Sen_high	Pro > Sen > Qui	2.80972250153256	4.20606696796185	1.11022302462516e-16	241
ALPK1	Sen_low	Pro = Qui < Sen	-3.10100744470762	-3.33942948024898	0	80216
ALPK2	Sen_low	Pro < Qui < Sen	-2.65467304447516	-1.92485556165418	0	115701
AMD1	Sen_high	Pro > Sen > Qui	1.1685680377367	1.55182205517923	0	262
AMER1	Sen_low	Pro = Qui < Sen	-1.23435596798175	-1.39901586934129	1.57852709903317e-07	139285
AMIGO1	Sen_low	Pro = Qui < Sen	-1.31317060556905	-1.71379324229423	0.00953446756894472	57463
AMOT	Sen_low	Pro < Sen < Qui	-1.90610439657395	-2.46576007420449	0	154796
AMPD3	Sen_high	Pro = Qui > Sen	4.31147197935028	3.97177202952771	-2.22044604925031e-16	272
AMPH	Sen_low	Pro = Qui < Sen	-1.67031370843358	-1.24136066486265	1.78057568689383e-12	273
AMT	Sen_low	Pro < Sen < Qui	-2.20082959202751	-3.0991571944837	0	275
AMZ1	Sen_high	Pro > Sen > Qui	1.37838929791131	2.52854173875013	0	155185
AMZ2P1	Sen_low	Pro = Qui < Sen	-1.78763665928773	-2.09063511723785	0	201283
ANGPT1	Sen_low	Pro = Qui < Sen	-3.71409151529132	-3.89680188523603	0	284
ANGPTL2	Sen_low	Pro < Sen < Qui	-2.09970405442277	-2.9795579174873	0	23452
ANK3	Sen_high	Pro > Sen > Qui	2.88981516927814	3.90670237914401	1.11022302462516e-16	288
ANKDD1A	Sen_low	Pro = Qui < Sen	-1.9710070940998	-2.29367544250295	2.22044604925031e-16	348094
ANKRD18B	Sen_low	Pro < Qui < Sen	-2.25837132195516	-1.40813727351854	7.7715611723761e-16	441459
ANKRD33B	Sen_low	Pro = Qui < Sen	-2.24168389906306	-1.89795240571176	1.11022302462516e-16	651746
ANKRD34A	Sen_high	Pro > Sen > Qui	2.00444449879319	3.14035195821049	0	284615
ANKRD37	Sen_high	Pro > Sen > Qui	1.55727993175895	2.67776005687571	1.46436798909022e-07	353322
ANKRD39	Sen_high	Pro = Qui > Sen	1.32050427178401	1.75161656549873	0	51239
ANKRD42	Sen_high	Pro = Qui > Sen	1.15184927298196	1.15764159404692	1.11022302462516e-16	338699
ANKRD53	Sen_low	Pro = Qui < Sen	-2.18442604863458	-3.10890829370433	2.40094343295638e-08	79998
ANO4	Sen_low	Pro = Qui < Sen	-2.68642855863836	-2.22565248418779	0	121601
ANPEP	Sen_high	Pro > Qui > Sen	2.88506970278505	2.66058481716134	0	290
AP1S1	Sen_high	Pro = Qui > Sen	1.37400636362532	1.51916962470066	0	1174
AP2S1	Sen_high	Pro > Sen > Qui	1.04528979759616	1.42509199927618	1.11022302462516e-16	1175
AP4S1	Sen_low	Pro = Qui < Sen	-1.51511153360839	-1.48022954522493	0	11154
APBB3	Sen_low	Pro < Sen < Qui	-1.39476480721317	-1.9452411529495	0	10307
APCDD1L	Sen_high	Pro > Sen > Qui	2.21938925056658	3.42219654569501	0	164284
APCDD1L-AS1	Sen_high	Pro > Sen > Qui	1.56858818900388	3.10011068400353	3.33066907387547e-16	NA
APLN	Sen_high	Pro > Sen > Qui	2.10396707807539	3.75987470802413	2.59303325811366e-07	8862
APLP1	Sen_high	Pro > Qui > Sen	3.18017469956306	2.79969510661415	1.11022302462516e-16	333
APOBEC3G	Sen_low	Pro = Qui < Sen	-2.23876625051787	-2.45103514211135	0	60489
APOC1	Sen_low	Pro = Qui < Sen	-3.34791540795245	-4.83747868020971	0.00983549228050096	341
APOD	Sen_high	Pro = Qui > Sen	3.33599952755631	2.48698719981118	0	347
APOE	Sen_low	Pro < Sen < Qui	-2.07923372922098	-4.26658756984928	2.35692081407279e-08	348
APOL1	Sen_low	Pro < Qui < Sen	-3.78684422559651	-3.42601285285279	0	8542
APOL3	Sen_low	Pro = Qui < Sen	-2.6585134295625	-2.30527874916304	3.33066907387547e-16	80833
APOL6	Sen_low	Pro = Qui < Sen	-2.35801509146645	-2.15106344082954	0	80830
APRT	Sen_high	Pro > Sen > Qui	1.15063123035148	1.33697506244435	0	353
AQP3	Sen_low	Pro = Qui < Sen	-1.64270513993362	-1.47631915401751	2.77555756156289e-15	360
AR	Sen_low	Pro = Qui < Sen	-2.39552307620014	-2.13812147207737	0	367
AREG	Sen_high	Pro > Qui > Sen	5.86743806491586	1.87893744357967	1.90972410651913e-06	374
ARHGAP20	Sen_low	Pro = Qui < Sen	-4.47811834005781	-4.3100967147947	0	57569
ARHGAP22	Sen_high	Pro = Qui > Sen	3.0190435138021	2.94567639861923	0	58504
ARHGAP25	Sen_high	Pro = Qui > Sen	4.94997159637224	4.11482657856916	0	9938
ARHGAP27	Sen_high	Pro = Qui > Sen	2.27933042019299	2.45702543416737	0	201176
ARHGAP28	Sen_low	Pro < Sen < Qui	-4.31679893781385	-5.65026136915311	0	79822
ARHGAP31	Sen_high	Pro = Qui > Sen	1.13600958514583	1.04021057978879	0	57514
ARHGAP32	Sen_low	Pro < Sen < Qui	-1.15391911505024	-1.57068333302464	0	9743
ARHGAP33	Sen_low	Pro = Qui < Sen	-1.5292451079279	-1.20676576124699	3.16018978097077e-06	115703
ARHGDIB	Sen_high	Pro > Sen > Qui	2.49349141780425	4.36603799461465	0	397
ARHGEF2	Sen_low	Pro = Qui < Sen	-1.13884370185607	-1.04129975872568	0	9181
ARHGEF26	Sen_low	Pro = Qui < Sen	-2.83971856877638	-2.33934244634025	3.02184551825846e-08	26084
ARHGEF37	Sen_high	Pro = Qui > Sen	1.91936112495263	1.67041677401206	0	389337
ARHGEF6	Sen_low	Pro < Sen < Qui	-1.67492909325747	-2.09950594604602	0	9459
ARID3B	Sen_high	Pro = Qui > Sen	1.94904325930724	1.89829465149845	1.99840144432528e-15	10620
ARID5B	Sen_low	Pro = Qui < Sen	-2.59145762258808	-2.66981895354779	0	84159
ARL6	Sen_high	Pro = Qui > Sen	1.34061474462874	1.38556994564161	0	84100
ARMC10	Sen_high	Pro = Qui > Sen	1.18661646466064	1.10223986072851	0	83787
ARNTL2	Sen_high	Pro > Sen > Qui	1.37664207497498	2.6276135138994	0	56938
ARPC5L	Sen_high	Pro > Sen > Qui	1.34558483262567	1.54152288066409	0	81873
ARPIN	Sen_low	Pro = Qui < Sen	-2.06130175539966	-2.0536019922059	0	348110
ARRDC1	Sen_high	Pro = Qui > Sen	1.04155623850039	1.21200795508128	2.33146835171283e-15	92714
ARRDC3	Sen_low	Pro < Sen < Qui	-1.70065607105003	-2.47610688406876	0	57561
ARRDC4	Sen_high	Pro > Sen > Qui	1.10174896424295	1.63359396965863	1.11022302462516e-16	91947
ARSE	Sen_low	Pro < Sen < Qui	-1.77575831005095	-2.59329034420104	1.83297821365613e-13	NA
