A_1	A_2	B_1	B_2
chr1:569659-570207	1705.5465221405	1323.13997745514	1672.46148586273	4076.53745412827
chr1:713748-714394	1260.62204837799	918.849003314972	1614.78996276855	1093.70449781418
chr1:752483-752990	889.849531650543	1029.11040186882	1635.55104541779	994.276511669159
chr1:825862-826376	1134.55823719501	1220.23082470894	1100.36265277863	596.565985679626
chr1:839936-840323	1625.45994210243	1908.266664505	1987.34616327286	1421.81622862816
chr1:841990-842572	3460.02519619465	3658.48896920681	2562.90120315552	2430.01258993149
chr1:873607-873974	3861.95144081116	2058.22077989578	2129.21605873108	2000.48523902893
chr1:875516-876557	8496.58042263985	7110.42043495178	10587.2559394836	9175.18674278259
chr1:876891-877411	6571.53312289715	3971.63611280918	5432.61564731598	5607.72610425949
chr1:895736-896316	2494.54528784752	1895.03551054001	2016.18116188049	1391.98747873306
chr1:901276-902651	11682.2417125702	8215.98008972406	9178.92534637451	6017.36300778389
chr1:911328-911913	2592.43026018143	1194.5032274127	1905.45079421997	1889.1264796257
chr1:935243-936278	9616.31528711319	9785.3700428009	10297.7444667816	6916.18283367157
chr1:937132-937459	2549.41958940029	2772.71750688553	2393.34846735001	2362.40055608749
chr1:948465-949219	4950.53079390526	5160.25655984879	6843.24653148651	6140.64905691147
chr1:954668-955190	3814.48865127563	3042.49116921425	4073.88279151917	2843.63137960434
chr1:956289-957630	11487.960801363	9231.11828589439	9686.42468738556	8518.96152162552
chr1:975801-976514	7065.40326809883	4641.29293894768	6433.78618526459	5170.23544311523
chr1:994357-995285	8303.79250025749	6631.14787745476	8105.09458637238	4056.64771318436
chr1:999319-999965	8713.11770904064	6151.87662959099	6816.71957588196	3074.30509185791
chr1:1004749-1005796	8290.43582248688	5901.21271467209	4562.93049716949	4577.64909315109
chr1:1014687-1015709	11136.4709011316	11707.5996572971	10757.962331295	7393.44642686844
chr1:1051216-1052224	15987.6307091713	12769.7876868248	14078.6634750366	10708.3512198925
chr1:1057219-1057920	3906.43813085556	3751.84399366379	3356.45416736603	2986.80757665634
chr1:1092666-1093397	6289.75327634811	3947.37548702955	4870.89568662643	4333.05584931374
chr1:1136828-1137215	2599.84394800663	1798.00266122818	1654.00574111938	3456.10689020157
chr1:1143295-1144057	8315.64209926128	6767.87238436937	5198.4674115181	5468.52052211761
chr1:1166883-1167939	10847.2695605755	6857.55303782225	10867.5306243896	4673.10346364975
chr1:1200119-1200922	15670.2533962727	11380.4893598557	13748.7755966187	11776.2150707245
chr1:1208993-1209708	4817.05360484123	2907.97451591492	5015.07656860352	5615.67871236801
chr1:1211172-1211642	2095.59851038456	1895.76873600483	2931.99659538269	1789.69550132751
chr1:1217073-1217952	9746.8198325634	6280.51259040833	4244.58456516266	4891.84322118759
chr1:1218287-1218694	3170.83049082756	2233.1669716835	908.895438194275	1491.41548871994
chr1:1225517-1225967	2546.4523922205	1445.90078550577	3229.57849502563	1922.93181681633
chr1:1240091-1240544	5226.38565635681	3046.16751861572	5028.91570091248	3734.50099515915
chr1:1240719-1241251	5878.94188833237	3895.18591189384	5105.04421901703	2917.21016120911
chr1:1242843-1244296	18078.7811462879	12638.9407606125	14334.7167892456	12161.9952831268
chr1:1253571-1254081	3400.70834708214	3418.11937987804	3681.71912384033	1948.78246545792
chr1:1259718-1260696	7686.81960225105	5508.68068647385	6057.76759147644	4887.86415624619
chr1:1280180-1280657	3884.19175457954	3149.07763385773	2049.62936544418	2129.74159574509
chr1:1283382-1283739	3594.99308204651	2449.28507041931	2205.34172677994	2181.44421315193
